run_date,symbol,role,latest_date,rows,classification,passed_checks,total_checks,score_pct,failed_checks,reason,market_ok,trend_ok,setup_ok,signal_ok,enough_data,indicators_ok,price_ok,volume_ok,close_above_sma200,sma50_above_sma200,distance_sma50_ok,pullback_ok,bullish_turn_ok,close_upper_half,recent_low_near_ema20_or_sma50,recent_close_above_sma50,recent_correction_ok,qty_ok,risk_per_share_ok,close,ema20,sma50,sma200,atr14,avg_vol20,dist_sma50_pct,entry_stop,stop_loss,risk_per_share,target_2r,qty,max_allowed_open_price
2026-06-20,MSFT,candidate,2026-06-18,254,rejected,9,12,75.0,"[""close_above_sma200"", ""sma50_above_sma200"", ""pullback_ok""]",No cumple los filtros mínimos de tendencia/liquidez/precio.,True,False,False,False,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,379.4,404.9593,412.4404,449.5554,12.5379,38945885.0,-0.0801,381.7514,372.0262,9.7252,401.2017,5.0,385.5689
2026-06-20,NVDA,candidate,2026-06-18,254,almost_valid,11,12,91.67,"[""pullback_ok""]","Tiene tendencia y parte del setup, pero le falta alguna condición final.",True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,210.69,210.2633,209.121,189.6844,8.4923,175682970.0,0.0075,211.6014,205.6508,5.9506,223.5026,8.0,213.7174
2026-06-20,QQQ,candidate,2026-06-18,254,valid_signal,12,12,100.0,[],Cumple todos los filtros y genera señal operable.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,740.62,721.4574,693.184,627.7585,18.3964,48773620.0,0.0684,742.5618,730.6704,11.8915,766.3447,4.0,749.9874
2026-06-20,REP.MC,candidate,2026-06-19,259,trend_only,10,12,83.33,"[""pullback_ok"", ""bullish_turn_ok""]","Cumple tendencia, pero todavía no hay retroceso/vela señal válida.",True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,21.55,22.2935,22.0642,18.1868,0.7143,3316153.0,-0.0233,21.7818,21.3486,0.4332,22.6481,115.0,21.9996
2026-06-20,SAN.MC,candidate,2026-06-19,259,rejected,10,12,83.33,"[""distance_sma50_ok"", ""bullish_turn_ok""]",No cumple los filtros mínimos de tendencia/liquidez/precio.,True,False,False,False,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,11.802,11.0455,10.5968,9.7064,0.2684,29489013.0,0.1137,12.002,11.7752,0.2268,12.4557,220.0,12.122
2026-06-20,SPY,market_index,,254,market_ok,0,0,0.0,,Filtro de mercado general usado para permitir/bloquear nuevas entradas.,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
2026-06-20,TSLA,candidate,2026-06-18,254,rejected,9,12,75.0,"[""close_above_sma200"", ""sma50_above_sma200"", ""pullback_ok""]",No cumple los filtros mínimos de tendencia/liquidez/precio.,True,False,False,False,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,400.49,407.5952,402.4874,416.9638,18.3857,46952265.0,-0.005,402.9225,382.8614,20.0611,443.0446,2.0,406.9517
2026-06-23,AAPL,candidate,2026-06-22,252,almost_valid,11,12,91.67,"[""bullish_turn_ok""]","Tiene tendencia y parte del setup, pero le falta alguna condición final.",True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,297.01,298.427,289.365,268.0891,8.065,52802130.0,0.0264,302.7224,295.9535,6.7689,316.2603,7.0,305.7497
2026-06-23,AMZN,candidate,2026-06-22,252,rejected,9,12,75.0,"[""close_above_sma200"", ""pullback_ok"", ""bullish_turn_ok""]",No cumple los filtros mínimos de tendencia/liquidez/precio.,True,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,True,True,232.79,248.1399,257.083,232.8377,8.3871,45700365.0,-0.0945,242.242,231.4013,10.8407,263.9234,4.0,244.6644
2026-06-23,BBVA.MC,candidate,2026-06-23,257,rejected,11,12,91.67,"[""distance_sma50_ok""]",No cumple los filtros mínimos de tendencia/liquidez/precio.,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,21.77,20.3389,19.5089,18.3129,0.4961,11250355.0,0.1159,21.8518,21.5204,0.3314,22.5147,150.0,22.0703
